2026-04-15 09:44:34 | INFO     | api.v1.agents.rag_answer_agent:1507 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:45:55 | INFO     | api.v1.agents.rag_answer_agent:1507 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:46:42 | INFO     | api.v1.agents.rag_answer_agent:1569 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:47:15 | INFO     | api.v1.agents.rag_answer_agent:1569 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:47:34 | INFO     | api.v1.agents.rag_answer_agent:1573 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:47:52 | INFO     | api.v1.agents.rag_answer_agent:1573 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:48:22 | INFO     | api.v1.agents.rag_answer_agent:1578 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:51:17 | INFO     | api.v1.agents.rag_answer_agent:1578 | ✓ Graph compiled with MemorySaver checkpointing enabled
2026-04-15 09:51:34 | INFO     | api.v1.agents.rag_answer_agent:1615 | run_rag_agent: thread_id=stateless_a3b037af, query='how many reliance shareholders are FII and how much impact does it jpl in q2 fy 25?'
2026-04-15 09:51:34 | INFO     | google_genai.models:6221 | AFC is enabled with max remote calls: 10.
2026-04-15 09:51:39 | INFO     | api.v1.agents.rag_answer_agent:940 | router_node: query='how many reliance shareholders are FII and how much impact does it jpl in q2 fy ' -> route=hybrid | thread_id=5d83ce8f
2026-04-15 09:51:39 | INFO     | api.v1.agents.rag_answer_agent:1365 | _route_query: hybrid
2026-04-15 09:51:39 | INFO     | google_genai.models:6221 | AFC is enabled with max remote calls: 10.
2026-04-15 09:51:47 | INFO     | api.v1.agents.rag_answer_agent:964 | sql_write_node: SQL=SELECT COUNT(*) AS fii_count, SUM(current_value_in_cr) AS total_value_in_cr FROM reliance_shareholders WHERE holder_type = 'FII/DII';
2026-04-15 09:51:47 | INFO     | api.v1.agents.rag_answer_agent:978 | sql_execute_node: thread_id=5d83ce8f | SQL executed | 1 rows | query='SELECT COUNT(*) AS fii_count, SUM(current_value_in_cr) AS total_value_in_cr FROM reliance_shareholde'
2026-04-15 09:51:53 | INFO     | api.v1.agents.rag_answer_agent:1068 | agent_node (retry=0): tool_calls=[{'name': 'hybrid_search', 'args': {'query': 'how many reliance shareholders are FII and how much impact does it jpl in q2 fy 25?how many reliance shareholders are FII and how much impact does it jpl in q2 fy 25?'}, 'id': 'a8702e85-dec8-4a6c-a352-c4550b449dd6', 'type': 'tool_call'}]
2026-04-15 09:51:53 | WARNING  | google_genai._api_client:113 | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-04-15 09:51:54 | INFO     | api.v1.agents.rag_answer_agent:1075 | extract_chunks: found 17 raw chunks
2026-04-15 09:51:55 | INFO     | api.v1.utils.reranker:127 | Reranking 17 chunks (model=rerank-v3.5, top_n=10)
2026-04-15 09:51:55 | INFO     | api.v1.utils.reranker:150 | Reranking complete — returned 10 chunks (best score=0.5764)
2026-04-15 09:51:55 | INFO     | api.v1.agents.rag_answer_agent:1097 | rerank_node: 17 -> 10 chunks (model=rerank-v3.5)
2026-04-15 09:51:55 | INFO     | api.v1.agents.rag_answer_agent:1124 | score_node: scored 10 chunks (best relevance=0.4757)
2026-04-15 09:51:55 | INFO     | api.v1.agents.rag_answer_agent:1310 | hybrid_merge_node: 1 SQL rows + 10 doc entries -> 11 total metadata
